Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
LPI,"Laredo Petroleum, Inc.",12.18,$2.95B,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lpi
RNLC,Large Cap US Equity Select ETF,20.77,$8.31M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rnlc
LVS,Las Vegas Sands Corp.,64.37,$50.94B,2004,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/lvs
LHO,LaSalle Hotel Properties,28.24,$3.2B,1998,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lho
LHO^I,LaSalle Hotel Properties,25.2602,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^i
LHO^J,LaSalle Hotel Properties,25.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/lho^j
LTM,LATAM Airlines Group S.A.,13.44,$8.15B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/ltm
LAQ,"Latin America Equity Fund, Inc. (The)",26.6799,$198.73M,1991,n/a,n/a,http://www.nasdaq.com/symbol/laq
LDF,"Latin American Discovery Fund, Inc. (The)",11.541,$77.55M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ldf
LSCC,Lattice Semiconductor Corporation,5.79,$712.01M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/lscc
LAUR,"Laureate Education, Inc.",13.27,$2.49B,2017,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/laur
LAWS,"Lawson Products, Inc.",25,$222.2M,n/a,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/laws
LAYN,Layne Christensen Company,12.89,$256.28M,1992,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/layn
LGI,Lazard Global Total Return and Income Fund,17.15,$164.73M,2004,n/a,n/a,http://www.nasdaq.com/symbol/lgi
LAZ,Lazard Ltd.,47.4,$5.76B,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/laz
LOR,"Lazard World Dividend & Income Fund, Inc.",11.19,$76.99M,2005,n/a,n/a,http://www.nasdaq.com/symbol/lor
LZB,La-Z-Boy Incorporated,27.15,$1.31B,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/lzb
LCII,LCI Industries ,122.8,$3.06B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/lcii
LCNB,LCNB Corporation,20.55,$205.88M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/lcnb
LBIX,Leading Brands Inc,2.03,$5.69M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/lbix
LFGR,Leaf Group Ltd.,7.15,$147.96M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/lfgr
